Letter,TP,TN,FP,FN,Accuracy,Precision,Recall,F1
ኞ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ኟ , 90 , 20250 , 90 , 0 , 81.884057971 , 50.0 , 100.0 , 66.6666666667
ነ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ኑ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ኒ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ና , 90 , 20250 , 90 , 0 , 81.884057971 , 50.0 , 100.0 , 66.6666666667
ኔ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ን , 0 , 20340 , 0 , 90 , 81.884057971 , 0 , 0.0 , 0
ኖ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ኗ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ኋ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ዊ , 0 , 20340 , 90 , 90 , 81.884057971 , 0.0 , 0.0 , 0
ኀ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ኁ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ኂ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ኃ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ኄ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ኅ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ኆ , 90 , 20250 , 90 , 0 , 81.884057971 , 50.0 , 100.0 , 66.6666666667
ጅ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ጯ , 90 , 20250 , 90 , 0 , 81.884057971 , 50.0 , 100.0 , 66.6666666667
ዦ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ጡ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ዤ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ፉ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ፈ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ፋ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ፊ , 90 , 20250 , 90 , 0 , 81.884057971 , 50.0 , 100.0 , 66.6666666667
ፍ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ፌ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ፏ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ፎ , 90 , 20250 , 90 , 0 , 81.884057971 , 50.0 , 100.0 , 66.6666666667
ፁ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ፀ , 0 , 20340 , 0 , 90 , 81.884057971 , 0 , 0.0 , 0
ፃ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
